# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR13160334_sorted.bam" "SRR13160327_sorted.bam" "SRR13160337_sorted.bam" "SRR13160328_sorted.bam" "SRR13160329_sorted.bam" "SRR13160336_sorted.bam" "SRR13160338_sorted.bam" "SRR13160331_sorted.bam" "SRR13160330_sorted.bam" "SRR13160335_sorted.bam" "SRR13160332_sorted.bam" "SRR13160333_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR13160334_sorted.bam	SRR13160327_sorted.bam	SRR13160337_sorted.bam	SRR13160328_sorted.bam	SRR13160329_sorted.bam	SRR13160336_sorted.bam	SRR13160338_sorted.bam	SRR13160331_sorted.bam	SRR13160330_sorted.bam	SRR13160335_sorted.bam	SRR13160332_sorted.bam	SRR13160333_sorted.bam
gene-PA3133.4	NC_002516.2	3515138	3515213	-	76	123	3354	183	1807	1146	0	105	151	1028	127	605	540
gene-PA3134	NC_002516.2	3515416	3516900	-	1485	151	652	247	1195	876	15	182	206	682	167	1185	291
gene-PA3135	NC_002516.2	3516938	3517858	-	921	5	47	11	77	63	0	6	4	44	11	36	10
gene-PA3136	NC_002516.2	3517928	3518995	+	1068	6	8	5	27	19	1	1	6	24	7	12	5
gene-PA3137	NC_002516.2	3519045	3520544	+	1500	12	45	12	57	44	0	8	16	50	7	47	21
gene-PA3138	NC_002516.2	3520548	3522560	-	2013	30	146	35	209	165	2	29	56	179	34	212	51
gene-PA3139	NC_002516.2	3522748	3523944	+	1197	62	245	62	414	274	7	39	59	276	44	243	91
gene-PA3139.1	NC_002516.2	3524012	3524087	+	76	3	18	9	16	9	0	3	6	25	5	9	8
gene-PA3140	NC_002516.2	3524161	3524490	-	330	22	29	24	52	33	0	7	13	36	13	54	22
gene-PA3141	NC_002516.2	3524681	3526678	-	1998	364	1857	444	2504	1870	15	236	345	2038	309	1485	626
gene-PA3142	NC_002516.2	3527429	3527734	-	306	32	177	24	197	132	2	18	37	156	28	122	57
gene-PA3143	NC_002516.2	3527670	3528212	-	543	41	236	41	231	176	4	15	52	219	22	186	98
gene-PA3145	NC_002516.2	3528428	3529447	-	1020	44	406	49	384	274	3	31	83	462	43	382	181
gene-PA3146	NC_002516.2	3529508	3530458	-	951	46	305	57	387	264	8	27	82	502	37	468	157
gene-PA3147	NC_002516.2	3530467	3531708	-	1242	65	485	72	510	345	3	40	141	707	67	646	254
gene-PA3148	NC_002516.2	3531751	3532815	-	1065	57	487	89	486	336	5	39	172	656	61	747	282
gene-PA3149	NC_002516.2	3532812	3533933	-	1122	66	696	85	580	484	4	39	194	950	78	909	330
gene-PA3150	NC_002516.2	3533948	3535081	-	1134	61	717	77	574	416	4	25	157	811	54	755	398
gene-PA3151	NC_002516.2	3535216	3535971	-	756	71	760	73	678	485	6	46	159	888	74	759	233
gene-PA3152	NC_002516.2	3535971	3536579	-	609	32	574	47	454	282	6	17	89	518	39	412	146
gene-PA3153	NC_002516.2	3536576	3537811	-	1236	31	520	43	389	279	1	16	61	475	32	316	117
gene-PA3154	NC_002516.2	3537808	3539124	-	1317	25	448	26	363	215	1	20	71	346	21	273	133
gene-PA3155	NC_002516.2	3539128	3540207	-	1080	99	885	168	1048	628	3	63	206	930	100	995	367
gene-PA3156	NC_002516.2	3540210	3540785	-	576	103	767	126	972	644	5	74	195	850	107	902	242
gene-PA3157	NC_002516.2	3540782	3542671	-	1890	65	820	98	786	619	4	51	114	809	75	603	178
gene-PA3158	NC_002516.2	3542740	3543690	-	951	66	436	89	574	421	4	52	125	663	89	614	230
gene-PA3159	NC_002516.2	3543764	3545074	-	1311	244	1304	364	1889	1495	18	202	581	2278	311	3124	847
gene-PA3160	NC_002516.2	3545881	3546927	-	1047	85	746	126	507	377	7	55	175	840	92	937	418
gene-PA3161	NC_002516.2	3547689	3547973	-	285	65	347	73	446	280	3	43	67	400	46	304	129
gene-PA3162	NC_002516.2	3548110	3549789	-	1680	6021	22271	7536	44210	27529	377	5486	8041	18655	7613	45013	14656
gene-PA3163	NC_002516.2	3550057	3550746	-	690	45	325	64	331	339	3	36	101	245	39	354	102
gene-PA3165	NC_002516.2	3552979	3554088	-	1110	86	650	130	856	823	9	88	142	549	102	678	151
gene-PA3166	NC_002516.2	3554157	3555254	-	1098	80	364	100	616	529	9	80	115	443	64	555	145
gene-PA3167	NC_002516.2	3555254	3556339	-	1086	70	419	132	684	546	8	85	139	553	104	685	187
gene-PA3168	NC_002516.2	3556427	3559198	-	2772	490	1853	707	3358	2729	47	449	742	2874	522	3627	920
gene-PA3169	NC_002516.2	3559435	3560511	-	1077	84	272	82	583	497	8	67	98	406	85	473	108
gene-PA3170	NC_002516.2	3560621	3561955	+	1335	19	58	16	124	131	0	22	15	66	15	61	19
gene-PA3171	NC_002516.2	3562106	3562804	+	699	25	148	37	237	213	0	28	30	187	28	158	30
gene-PA3172	NC_002516.2	3562801	3563481	+	681	16	66	20	161	157	2	14	21	111	11	98	11
gene-PA3173	NC_002516.2	3563546	3564286	+	741	11	57	11	60	64	0	7	15	71	11	32	21
gene-PA3174	NC_002516.2	3564445	3565173	+	729	0	4	4	8	4	0	3	1	6	0	4	3
gene-PA3175	NC_002516.2	3565189	3566124	+	936	5	1	9	6	2	0	1	2	8	0	8	7
gene-PA3176	NC_002516.2	3566163	3567377	+	1215	8	5	10	13	13	1	2	5	15	3	6	5
gene-PA3177	NC_002516.2	3567606	3568529	+	924	21	76	25	93	77	0	11	17	110	16	84	26
gene-PA3178	NC_002516.2	3568636	3569013	-	378	30	75	28	115	92	3	17	21	76	27	99	41
gene-PA3179	NC_002516.2	3569106	3570266	-	1161	128	285	183	639	639	11	122	142	198	139	678	174
gene-PA3180	NC_002516.2	3570414	3570851	+	438	10	38	20	53	26	1	11	9	37	6	24	21
gene-PA3181	NC_002516.2	3570941	3571603	-	663	37	117	45	235	87	1	13	36	297	25	71	35
gene-PA3182	NC_002516.2	3571621	3572337	-	717	15	73	27	146	53	1	13	22	152	9	37	14
gene-PA3183	NC_002516.2	3572324	3573793	-	1470	96	476	178	722	371	11	67	87	771	50	247	116
gene-PA3184	NC_002516.2	3573980	3574837	+	858	22	130	33	142	112	2	25	23	139	21	110	38
gene-PA3185	NC_002516.2	3574846	3575697	-	852	60	262	67	394	309	1	36	51	229	43	201	68
gene-PA3186	NC_002516.2	3575912	3577276	-	1365	181	214	122	270	272	4	84	72	394	96	515	334
gene-PA3187	NC_002516.2	3577320	3578480	-	1161	55	53	37	66	106	0	37	28	198	23	204	85
gene-PA3188	NC_002516.2	3578513	3579358	-	846	21	32	19	37	59	0	13	12	117	11	83	35
gene-PA3189	NC_002516.2	3579351	3580283	-	933	18	20	6	29	28	1	7	13	91	12	45	27
gene-PA3190	NC_002516.2	3580384	3581646	-	1263	72	283	54	427	427	9	33	62	428	46	282	131
gene-PA3191	NC_002516.2	3582171	3583592	-	1422	13	76	13	105	75	0	9	25	233	5	54	26
gene-PA3192	NC_002516.2	3583616	3584344	-	729	15	82	23	132	81	0	15	16	284	9	89	29
gene-PA3193	NC_002516.2	3584379	3585374	-	996	36	252	63	356	185	3	31	70	544	29	192	55
gene-PA3194	NC_002516.2	3585477	3587303	-	1827	41	337	109	484	244	3	37	72	568	29	207	79
gene-PA3195	NC_002516.2	3587433	3588437	+	1005	17	54	26	92	65	3	8	21	121	13	70	40
gene-PA3196	NC_002516.2	3588741	3589271	-	531	10	47	15	65	52	2	7	15	75	9	54	15
gene-PA3197	NC_002516.2	3589352	3590350	-	999	33	85	28	88	79	2	13	20	93	13	46	30
gene-PA3198	NC_002516.2	3590490	3591242	-	753	8	33	13	37	47	0	4	10	42	11	32	8
gene-PA3199	NC_002516.2	3591415	3592044	-	630	7	57	3	55	40	1	4	11	31	4	46	15
gene-PA3200	NC_002516.2	3592041	3592928	-	888	12	92	23	89	71	0	11	15	60	12	57	29
gene-PA3201	NC_002516.2	3593144	3593731	+	588	13	127	28	172	136	1	18	26	128	17	98	28
gene-PA3202	NC_002516.2	3593733	3594032	+	300	5	73	11	92	74	0	15	11	64	12	57	14
gene-PA3203	NC_002516.2	3594208	3594570	+	363	16	124	19	135	93	2	14	18	117	11	87	23
gene-PA3204	NC_002516.2	3594581	3595258	+	678	13	68	22	108	90	1	13	14	102	13	74	21
gene-PA3205	NC_002516.2	3595387	3595827	+	441	2	30	9	21	31	2	7	8	26	4	30	14
gene-PA3206	NC_002516.2	3595942	3597279	+	1338	11	35	11	62	39	1	6	4	49	13	48	8
gene-PA3207	NC_002516.2	3597319	3597798	+	480	13	30	19	78	56	0	8	17	33	8	50	9
gene-PA3208	NC_002516.2	3597779	3598339	-	561	11	43	22	71	51	0	13	11	53	11	46	21
gene-PA3209	NC_002516.2	3598404	3598775	-	372	4	20	8	32	30	0	6	2	34	5	8	17
gene-PA3210	NC_002516.2	3598933	3600387	+	1455	13	54	13	62	54	1	7	9	74	7	56	22
gene-PA3211	NC_002516.2	3600454	3601599	+	1146	34	170	37	219	189	2	16	18	229	24	101	37
gene-PA3212	NC_002516.2	3601596	3602390	+	795	27	94	27	144	119	0	12	23	127	16	80	22
gene-PA3213	NC_002516.2	3602392	3603330	+	939	18	117	22	136	141	0	17	19	141	15	96	27
gene-PA3214	NC_002516.2	3603327	3603971	+	645	8	83	9	85	78	0	5	14	72	4	51	11
gene-PA3215	NC_002516.2	3603994	3605007	-	1014	36	164	26	168	175	3	27	26	150	19	115	39
gene-PA3216	NC_002516.2	3605150	3605467	+	318	1	17	1	9	4	0	1	6	8	2	7	5
gene-PA3217	NC_002516.2	3605684	3607075	+	1392	9	46	9	80	54	1	9	9	49	8	33	12
gene-PA3219	NC_002516.2	3608117	3608929	-	813	2	4	1	2	1	0	0	0	3	1	4	1
gene-PA3220	NC_002516.2	3609076	3609840	+	765	6	11	4	18	20	0	3	3	30	3	9	8
gene-PA3221	NC_002516.2	3609905	3610240	+	336	3	11	5	23	18	0	2	2	23	3	12	9
gene-PA3222	NC_002516.2	3610250	3611149	+	900	2	21	5	18	16	0	5	5	12	0	10	6
gene-PA3223	NC_002516.2	3611254	3611895	-	642	0	7	1	5	10	0	1	3	5	1	4	5
gene-PA3224	NC_002516.2	3612042	3612359	-	318	7	52	7	84	48	1	10	12	56	14	47	23
gene-PA3225	NC_002516.2	3612559	3613488	+	930	9	40	4	54	55	1	8	10	46	8	34	9
gene-PA3226	NC_002516.2	3613495	3614322	+	828	6	25	6	29	23	0	4	11	37	8	36	8
gene-PA3227	NC_002516.2	3614304	3614867	+	564	15	46	15	72	45	0	7	17	60	11	63	23
gene-PA3228	NC_002516.2	3614930	3616762	+	1833	38	97	39	133	107	0	20	35	156	25	89	46
gene-PA3229	NC_002516.2	3617044	3617310	+	267	4	17	2	18	15	0	0	2	19	1	17	1
gene-PA3230	NC_002516.2	3617343	3618467	-	1125	16	66	13	95	67	0	8	9	49	4	39	13
gene-PA3231	NC_002516.2	3618726	3618884	-	159	1	3	1	4	3	0	0	0	4	1	3	4
gene-PA3232	NC_002516.2	3618993	3619619	-	627	9	7	2	8	9	0	0	1	19	1	13	7
gene-PA3233	NC_002516.2	3619616	3621415	-	1800	23	26	8	33	24	0	7	8	107	9	43	37
gene-PA3234	NC_002516.2	3621505	3623160	-	1656	23	36	12	36	30	0	8	19	111	5	53	54
gene-PA3235	NC_002516.2	3623157	3623468	-	312	8	12	4	22	13	0	9	8	74	2	21	11
gene-PA3236	NC_002516.2	3623686	3624543	-	858	14	41	13	44	37	0	6	3	47	5	37	34
gene-PA3237	NC_002516.2	3624837	3625058	+	222	5	8	3	5	7	0	2	0	7	0	12	7
gene-PA3238	NC_002516.2	3625201	3626562	+	1362	11	49	12	44	31	0	4	10	52	8	37	20
gene-PA3239	NC_002516.2	3626566	3627369	+	804	21	69	24	79	74	2	15	30	131	24	97	55
gene-PA3240	NC_002516.2	3627509	3628366	+	858	12	38	11	29	16	0	4	2	34	4	18	13
gene-PA3241	NC_002516.2	3628430	3629599	-	1170	13	61	15	79	77	0	9	14	68	9	37	8
gene-PA3242	NC_002516.2	3629667	3630605	-	939	19	86	26	114	107	0	22	19	97	22	67	23
gene-PA3243	NC_002516.2	3630765	3631556	+	792	34	114	35	185	139	2	14	52	263	43	203	58
gene-PA3244	NC_002516.2	3631618	3632433	+	816	248	1353	369	1492	1240	18	219	428	1470	255	1898	518
gene-PA3245	NC_002516.2	3632430	3632684	+	255	162	1039	198	944	729	13	148	237	962	142	1155	345
gene-PA3246	NC_002516.2	3632788	3633423	+	636	13	49	16	59	88	2	11	24	64	11	77	23
gene-PA3247	NC_002516.2	3633592	3634881	+	1290	17	78	30	140	131	5	20	33	134	21	98	43
gene-PA3248	NC_002516.2	3634924	3635475	-	552	6	40	9	37	45	1	1	14	39	6	36	6
gene-PA3249	NC_002516.2	3635541	3636257	-	717	4	16	2	20	18	1	1	3	26	2	21	6
gene-PA3250	NC_002516.2	3636621	3637679	+	1059	4	12	6	9	4	1	3	3	10	2	14	7
gene-PA3251	NC_002516.2	3637734	3638543	+	810	8	7	1	7	6	0	2	0	8	1	3	5
gene-PA3252	NC_002516.2	3638540	3639379	+	840	1	6	6	12	4	0	2	3	12	1	7	5
gene-PA3253	NC_002516.2	3639366	3640163	+	798	11	7	11	30	17	0	2	6	26	6	11	16
gene-PA3254	NC_002516.2	3640166	3641161	+	996	18	56	19	104	81	1	7	22	94	20	79	18
gene-PA3255	NC_002516.2	3641233	3641811	+	579	14	92	15	138	91	2	17	18	109	15	109	40
gene-PA3256	NC_002516.2	3641872	3642834	-	963	32	124	28	175	131	2	22	29	179	20	161	30
gene-PA3257	NC_002516.2	3642964	3645060	+	2097	86	416	90	573	456	7	64	126	709	86	527	136
gene-PA3258	NC_002516.2	3645099	3646904	+	1806	26	87	32	119	83	2	14	21	84	19	78	35
gene-PA3259	NC_002516.2	3646918	3647397	-	480	10	60	15	82	56	0	7	12	50	5	53	16
gene-PA3260	NC_002516.2	3647755	3648066	-	312	30	70	32	154	89	1	13	32	64	16	96	22
gene-PA3261	NC_002516.2	3648170	3648916	+	747	18	91	29	116	100	1	15	12	108	18	74	32
gene-PA3262	NC_002516.2	3649705	3650466	-	762	138	565	195	847	728	13	108	201	763	142	1089	325
gene-PA3262.1	NC_002516.2	3650722	3650798	-	77	169	1048	130	1069	769	8	53	133	1077	80	503	368
gene-PA3262.2	NC_002516.2	3650815	3650890	-	76	381	3064	300	2479	1885	19	128	321	2279	237	1246	838
gene-PA3263	NC_002516.2	3651056	3651976	+	921	15	77	30	160	131	3	12	49	124	25	128	37
gene-PA3264	NC_002516.2	3652063	3652998	+	936	13	29	14	39	43	1	8	7	47	12	34	12
gene-PA3265	NC_002516.2	3653138	3653452	+	315	6	29	12	31	19	1	2	8	33	5	19	8
gene-PA3266	NC_002516.2	3653667	3653876	+	210	344	4952	375	3093	4201	24	255	980	8647	332	8235	1363
gene-PA3267	NC_002516.2	3653937	3655811	-	1875	35	165	40	226	200	3	21	30	191	25	194	61
gene-PA3268	NC_002516.2	3655986	3658151	-	2166	73	52	95	212	213	8	40	30	118	82	112	88
gene-PA3269	NC_002516.2	3658248	3659102	-	855	20	99	33	164	117	0	16	32	161	22	122	34
gene-PA3270	NC_002516.2	3659169	3659756	-	588	86	323	85	475	380	4	54	123	680	74	374	90
gene-PA3271	NC_002516.2	3660022	3663501	+	3480	50	126	37	162	149	0	30	54	547	34	200	67
gene-PA3272	NC_002516.2	3663509	3667855	-	4347	21	75	18	120	73	1	12	25	111	15	81	21
gene-PA3273	NC_002516.2	3667924	3668307	-	384	1	1	2	5	8	0	0	1	9	3	4	4
gene-PA3274	NC_002516.2	3668474	3668761	+	288	5	10	3	14	8	0	2	2	6	1	8	8
gene-PA3275	NC_002516.2	3668840	3669169	-	330	2	29	4	24	15	0	2	5	19	1	18	5
gene-PA3276	NC_002516.2	3669166	3669588	-	423	26	91	26	116	134	1	8	17	66	16	66	23
gene-PA3277	NC_002516.2	3669821	3670633	-	813	5	74	9	65	54	0	5	11	65	15	74	19
gene-PA3278	NC_002516.2	3670759	3671058	-	300	19	283	10	380	179	1	6	16	224	8	64	41
gene-PA3279	NC_002516.2	3671227	3672549	-	1323	4	8	3	12	7	0	1	0	11	0	5	6
gene-PA3280	NC_002516.2	3673008	3674324	-	1317	8	19	12	33	22	0	2	5	34	5	17	11
gene-PA3281	NC_002516.2	3674570	3675160	-	591	3	14	5	8	17	0	0	5	13	2	11	3
gene-PA3282	NC_002516.2	3675163	3675897	-	735	1	14	5	29	29	0	2	4	26	0	27	6
gene-PA3283	NC_002516.2	3675894	3676748	-	855	2	33	3	38	49	0	2	9	27	5	50	14
gene-PA3284	NC_002516.2	3676767	3677081	-	315	14	70	11	67	53	1	10	21	56	17	104	21
gene-PA3285	NC_002516.2	3677720	3678331	-	612	22	140	38	176	150	1	19	24	126	25	122	54
gene-PA3286	NC_002516.2	3678334	3679386	-	1053	32	145	54	302	239	5	39	55	183	37	268	76
gene-PA3287	NC_002516.2	3679946	3680461	+	516	2	14	9	20	20	1	6	5	13	2	18	5
gene-PA3288	NC_002516.2	3680465	3680968	-	504	18	43	23	81	67	2	7	12	61	17	55	10
gene-PA3289	NC_002516.2	3681048	3681461	+	414	5	11	3	12	5	1	1	3	12	2	14	2
gene-PA3290	NC_002516.2	3681500	3684148	-	2649	20	184	33	140	122	2	15	42	133	19	147	61
gene-PA3291	NC_002516.2	3684163	3684717	-	555	1	44	5	28	26	0	0	10	46	5	38	19
gene-PA3292	NC_002516.2	3684905	3685762	-	858	2	32	1	16	17	0	2	6	30	0	28	11
gene-PA3293	NC_002516.2	3685759	3686574	-	816	4	7	1	13	14	0	2	4	14	2	14	2
gene-PA3294	NC_002516.2	3686584	3688650	-	2067	8	32	11	47	68	1	5	12	67	10	60	17
gene-PA3295	NC_002516.2	3688879	3689316	-	438	10	43	8	56	58	0	7	13	44	3	52	15
gene-PA3296	NC_002516.2	3689521	3690951	+	1431	5	16	6	31	17	0	3	5	29	9	26	4
gene-PA3297	NC_002516.2	3691024	3695004	-	3981	84	371	118	710	651	12	89	130	566	87	661	109
gene-PA3298	NC_002516.2	3695179	3695481	-	303	1	9	3	10	7	0	4	2	10	2	7	4
gene-PA3299	NC_002516.2	3695511	3697199	-	1689	123	531	151	645	605	16	122	153	589	122	704	238
gene-PA3300	NC_002516.2	3697434	3699122	-	1689	19	98	23	73	47	0	17	31	89	16	96	48
gene-PA3301	NC_002516.2	3699369	3700319	+	951	10	53	11	102	106	2	14	22	62	8	74	15
gene-PA3302	NC_002516.2	3700316	3700786	+	471	22	56	18	102	93	3	21	27	87	16	109	29
gene-PA3303	NC_002516.2	3700937	3702112	+	1176	10	35	11	37	27	0	5	8	32	2	31	4
gene-PA3304	NC_002516.2	3702093	3702950	-	858	9	56	9	56	44	0	3	4	36	3	29	5
gene-PA3303a	NC_002516.2	3702977	3703180	-	204	2	18	2	25	24	0	1	1	5	3	6	2
gene-PA3304.1	NC_002516.2	3703022	3703156	-	135	1	13	2	19	19	0	1	1	2	3	3	1
gene-PA3305	NC_002516.2	3703167	3705161	-	1995	13	144	14	199	136	0	9	17	70	8	52	12
gene-PA3305.1	NC_002516.2	3705309	3705521	-	213	27	13921	35	6124	3410	1	14	32	145	22	103	77
gene-PA3306	NC_002516.2	3705890	3706492	-	603	22	90	27	107	94	1	11	26	81	14	49	25
gene-PA3307	NC_002516.2	3706546	3706854	-	309	16	16	6	20	12	2	3	8	14	7	6	4
gene-PA3308	NC_002516.2	3707090	3709942	+	2853	62	314	79	551	459	11	49	67	373	58	337	96
gene-PA3309	NC_002516.2	3710225	3710680	+	456	102	2211	43	1903	1451	3	25	373	2094	57	1008	81
gene-PA3310	NC_002516.2	3710749	3712404	-	1656	29	197	32	169	161	3	23	65	501	37	360	138
gene-PA3311	NC_002516.2	3712560	3714911	+	2352	8	29	14	39	37	2	9	5	41	6	22	13
gene-PA3312	NC_002516.2	3714915	3715805	-	891	10	30	10	40	37	1	12	11	33	2	34	14
gene-PA3313	NC_002516.2	3715804	3716811	+	1008	22	46	16	97	81	4	28	25	55	22	75	33
gene-PA3314	NC_002516.2	3716808	3717611	+	804	6	28	9	56	39	1	4	11	31	6	25	8
gene-PA3315	NC_002516.2	3717605	3718438	+	834	5	23	5	35	30	0	3	3	28	2	10	5
gene-PA3316	NC_002516.2	3718435	3719205	+	771	5	48	7	57	42	0	5	10	31	3	19	13
gene-PA3317	NC_002516.2	3719329	3720057	+	729	9	53	13	71	63	0	4	13	67	6	40	18
gene-PA3318	NC_002516.2	3720123	3720623	+	501	2	7	5	10	12	1	2	4	9	4	13	3
gene-PA3319	NC_002516.2	3720681	3722759	-	2079	5	13	9	22	12	0	0	3	19	7	12	10
gene-PA3320	NC_002516.2	3722990	3723445	-	456	2	2	1	2	2	0	0	0	6	0	2	2
gene-PA3321	NC_002516.2	3723534	3724448	+	915	2	28	8	24	17	0	2	4	23	1	20	10
gene-PA3322	NC_002516.2	3724456	3725154	-	699	20	87	17	79	77	2	12	17	84	15	55	18
gene-PA3323	NC_002516.2	3725580	3726455	+	876	4	2	3	13	2	0	2	3	7	0	10	3
gene-PA3324	NC_002516.2	3726452	3728230	+	1779	9	20	8	28	17	1	6	9	26	5	25	10
gene-PA3325	NC_002516.2	3728240	3729127	+	888	5	27	4	30	22	0	5	9	47	2	38	9
gene-PA3326	NC_002516.2	3729471	3730076	-	606	44	105	45	122	130	2	32	47	216	27	282	118
gene-PA3327	NC_002516.2	3730557	3737615	+	7059	38	34	40	90	56	1	20	21	119	16	80	43
gene-PA3328	NC_002516.2	3737612	3738778	+	1167	4	6	8	12	17	0	3	12	24	7	18	5
gene-PA3329	NC_002516.2	3738775	3740103	+	1329	4	11	16	13	9	0	6	5	19	6	15	3
gene-PA3330	NC_002516.2	3740105	3741019	+	915	6	4	4	7	4	0	3	0	13	4	8	4
gene-PA3331	NC_002516.2	3741012	3742268	+	1257	4	8	11	16	17	0	5	6	31	3	17	14
gene-PA3332	NC_002516.2	3742265	3742690	+	426	1	2	4	4	5	0	1	1	3	4	14	4
gene-PA3333	NC_002516.2	3742694	3743686	+	993	8	14	35	27	18	6	19	8	30	7	39	15
gene-PA3334	NC_002516.2	3743700	3743939	+	240	3	8	22	12	11	2	15	6	18	2	24	12
gene-PA3335	NC_002516.2	3744057	3744809	+	753	2	13	16	14	15	0	10	4	15	1	17	10
gene-PA3336	NC_002516.2	3744901	3746067	+	1167	0	30	8	23	18	0	3	3	14	4	12	12
gene-PA3337	NC_002516.2	3746078	3747076	-	999	4	204	5	165	84	0	4	6	30	4	12	5
gene-PA3338	NC_002516.2	3747166	3747456	-	291	0	4	1	6	5	0	3	3	8	0	4	0
gene-PA3339	NC_002516.2	3747525	3749711	+	2187	19	69	22	130	97	3	24	19	114	6	83	22
gene-PA3340	NC_002516.2	3749719	3751767	-	2049	12	121	16	148	109	1	15	22	158	14	76	39
gene-PA3341	NC_002516.2	3752044	3752478	-	435	9	83	8	82	74	2	8	8	53	7	34	26
gene-PA3342	NC_002516.2	3752596	3753612	-	1017	3	25	7	37	29	1	1	3	29	1	12	8
gene-PA3343	NC_002516.2	3753763	3754932	-	1170	11	119	17	142	121	1	16	14	97	14	50	26
gene-PA3344	NC_002516.2	3755021	3757159	-	2139	97	499	116	781	660	13	96	103	450	108	427	151
gene-PA3345	NC_002516.2	3757243	3757593	-	351	44	230	50	224	137	1	25	26	200	40	146	102
gene-PA3346	NC_002516.2	3757659	3759374	-	1716	20	95	44	157	97	1	16	20	99	12	85	24
gene-PA3347	NC_002516.2	3759376	3759681	-	306	8	73	22	74	62	0	7	16	45	12	49	16
gene-PA3348	NC_002516.2	3759996	3760820	-	825	87	488	112	636	522	4	51	91	565	63	472	199
gene-PA3349	NC_002516.2	3760897	3761829	-	933	218	1055	306	1216	907	27	179	268	809	199	1046	554
gene-PA3350	NC_002516.2	3761961	3762659	+	699	71	538	108	420	364	6	68	76	275	65	264	194
gene-PA3351	NC_002516.2	3762804	3763127	+	324	124	394	160	610	561	18	72	104	347	91	419	177
gene-PA3352	NC_002516.2	3763182	3763652	+	471	27	130	41	160	161	7	15	32	108	24	117	41
gene-PA3353	NC_002516.2	3763681	3764472	+	792	13	83	21	90	67	1	10	15	93	10	41	31
gene-PA3354	NC_002516.2	3764476	3765087	-	612	13	33	14	53	49	0	14	7	56	11	24	22
gene-PA3355	NC_002516.2	3765129	3766433	-	1305	31	54	44	103	86	1	14	18	92	20	65	36
gene-PA3356	NC_002516.2	3766617	3767858	-	1242	46	131	48	159	95	4	24	38	160	18	162	81
gene-PA3357	NC_002516.2	3768184	3769530	+	1347	14	24	13	31	51	2	9	10	45	10	45	8
gene-PA3358	NC_002516.2	3769587	3770465	+	879	5	12	7	15	19	0	2	2	12	1	6	1
gene-PA3359	NC_002516.2	3770470	3771480	-	1011	3	15	15	44	32	0	9	3	39	9	29	7
gene-PA3360	NC_002516.2	3771503	3772561	-	1059	6	8	8	24	16	0	3	1	14	8	14	2
gene-PA3361	NC_002516.2	3773029	3773376	+	348	10	20	5	15	8	1	4	4	32	3	14	7
gene-PA3362	NC_002516.2	3773430	3773948	-	519	7	27	2	22	12	0	0	5	45	3	19	11
gene-PA3363	NC_002516.2	3773991	3774581	-	591	7	18	5	27	20	0	2	9	56	5	29	17
gene-PA3364	NC_002516.2	3774578	3775735	-	1158	7	51	15	48	44	0	8	15	84	6	46	25
gene-PA3365	NC_002516.2	3775761	3776876	-	1116	9	26	14	31	35	1	10	14	77	5	39	16
gene-PA3366	NC_002516.2	3776959	3777999	-	1041	32	134	45	126	103	1	21	37	226	25	144	77
gene-PA3366.1	NC_002516.2	3778034	3778133	-	100	9	19	13	18	18	1	5	3	20	1	18	9
gene-PA3367	NC_002516.2	3778266	3778604	+	339	17	65	31	60	60	1	5	7	53	15	41	10
gene-PA3368.1	NC_002516.2	3778654	3778730	-	77	9	77	18	38	40	0	2	4	37	5	26	19
gene-PA3368	NC_002516.2	3778704	3779369	+	666	10	82	15	44	43	0	2	4	46	8	29	26
gene-PA3369	NC_002516.2	3779562	3779840	+	279	5	4	7	5	11	1	2	2	7	4	9	3
gene-PA3370	NC_002516.2	3779930	3780076	+	147	3	3	1	9	0	0	1	0	3	1	9	4
gene-PA3371	NC_002516.2	3780128	3780313	+	186	2	9	1	20	10	1	1	1	7	0	10	2
gene-PA3372	NC_002516.2	3780362	3781132	-	771	9	15	6	48	37	2	4	4	35	1	28	6
gene-PA3373	NC_002516.2	3781123	3781680	-	558	11	41	12	75	51	0	9	15	53	13	40	12
gene-PA3374	NC_002516.2	3781680	3782843	-	1164	15	37	18	69	52	0	10	9	68	17	34	14
gene-PA3375	NC_002516.2	3782833	3783549	-	717	1	1	4	4	3	0	5	0	10	2	3	3
gene-PA3376	NC_002516.2	3783599	3784414	-	816	1	3	5	5	4	0	1	0	5	1	3	1
gene-PA3377	NC_002516.2	3784411	3785295	-	885	1	5	3	8	4	2	1	3	12	0	5	2
gene-PA3378	NC_002516.2	3785292	3786392	-	1101	6	11	3	9	10	1	4	4	12	4	4	2
gene-PA3379	NC_002516.2	3786392	3787021	-	630	1	7	1	3	3	0	0	1	1	0	2	0
gene-PA3380	NC_002516.2	3787021	3787479	-	459	0	0	1	1	1	0	0	0	0	0	2	0
gene-PA3381	NC_002516.2	3787489	3788211	-	723	0	1	1	0	1	0	0	0	3	0	1	0
gene-PA3382	NC_002516.2	3788232	3789026	-	795	2	1	2	4	3	0	0	0	4	1	3	2
gene-PA3383	NC_002516.2	3789093	3790097	-	1005	1	2	2	3	4	0	0	0	5	0	3	2
gene-PA3384	NC_002516.2	3790150	3790986	-	837	4	6	1	10	6	0	1	2	4	0	8	2
